Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,80,400,215.0,574,0
2,200,1000,443.0,460,0
3,160,800,266.0,418,0
4,80,800,239.0,410,0
5,80,1000,438.0,445,0
6,200,200,379.0,382,0
7,120,1000,446.0,352,0
8,120,200,384.0,683,1
9,200,900,401.0,476,0
10,80,100,509.0,457,0
11,160,1000,514.0,623,1
12,160,200,322.0,390,0
13,160,1000,399.0,421,0
14,120,1000,395.0,682,0
15,200,300,245.0,369,0
16,80,700,89.0,587,0
17,120,700,99.0,355,0
18,200,1000,514.0,382,0
19,200,400,208.0,574,1
20,200,100,467.0,396,0
21,120,900,367.0,582,1
22,120,300,335.0,451,0
23,200,800,265.0,377,0
24,80,1000,437.0,628,0
25,80,800,195.0,536,0
26,160,1000,436.0,428,0
27,200,300,291.0,588,1
28,160,1000,402.0,639,0
29,120,1000,411.0,636,0
30,80,300,332.0,808,1
31,120,900,342.0,505,0
32,80,400,219.0,525,0
33,200,100,414.0,406,0
34,200,700,220.0,347,0
35,200,200,295.0,348,0
36,80,400,177.0,447,0
37,200,700,119.0,333,0
38,160,200,389.0,383,0
39,120,800,275.0,372,0
40,80,300,305.0,463,0
41,160,1000,425.0,432,0
42,200,300,305.0,337,0
43,200,900,336.0,614,1
44,120,700,118.0,564,0
45,160,1000,428.0,570,0
46,160,800,295.0,471,0
47,200,400,202.0,336,0
48,160,700,215.0,315,0
49,120,100,439.0,446,0
50,80,100,494.0,543,0
51,120,900,351.0,465,0
52,80,200,384.0,725,0
53,200,400,77.0,465,0
54,80,100,492.0,567,0
55,200,400,128.0,443,0
56,120,800,184.0,516,0
57,80,300,324.0,658,0
58,120,400,165.0,471,0
59,80,100,526.0,778,0
60,120,700,139.0,580,0
61,200,800,192.0,391,0
62,200,400,184.0,307,0
63,120,300,255.0,574,1
64,120,1000,385.0,471,0
65,160,700,96.0,469,0
66,200,100,377.0,385,0
67,80,800,238.0,560,1
68,80,300,298.0,366,0
69,80,100,471.0,670,0
70,120,300,252.0,537,0
71,200,700,175.0,342,0
72,80,400,203.0,347,0
73,200,1000,453.0,568,0
74,200,100,411.0,374,0
75,120,200,380.0,653,1
76,120,300,279.0,452,0
77,160,100,425.0,426,0
78,120,300,272.0,418,0
79,200,1000,363.0,390,0
80,120,100,447.0,493,0
81,160,200,433.0,577,0
82,80,900,273.0,482,0
83,200,100,397.0,735,0
84,200,300,224.0,428,0
85,80,700,136.0,609,1
86,160,400,188.0,414,0
87,120,100,461.0,516,0
88,120,1000,451.0,666,0
89,160,100,447.0,750,0
90,200,400,110.0,465,0
91,80,800,209.0,439,0
92,200,700,147.0,481,0
93,80,200,410.0,436,0
94,80,300,288.0,611,0
95,200,100,376.0,446,0
96,80,1000,432.0,490,0
97,200,800,221.0,567,0
98,80,300,316.0,401,0
99,160,900,333.0,418,0
100,160,800,192.0,621,0
101,80,900,272.0,611,0
102,80,200,385.0,608,0
103,160,300,253.0,701,0
104,200,800,278.0,390,0
105,160,400,198.0,385,0
106,80,100,506.0,672,0
107,200,300,233.0,485,0
108,200,300,258.0,379,0
109,120,100,486.0,479,0
110,80,900,303.0,612,0
111,160,200,332.0,672,0
112,160,700,153.0,418,0
113,200,100,429.0,512,0
114,80,400,202.0,507,0
115,200,300,204.0,378,0
116,160,800,215.0,356,0
117,120,700,76.0,444,0
118,80,800,206.0,370,0
119,120,200,368.0,379,0
120,120,800,259.0,360,0
121,200,900,366.0,568,1
122,200,800,249.0,393,0
123,80,300,320.0,817,2
124,120,100,528.0,616,1
125,200,200,338.0,647,1
126,120,200,361.0,391,0
127,120,100,524.0,727,1
128,200,400,95.0,396,0
129,200,100,532.0,380,0
130,120,1000,432.0,460,0
131,120,200,378.0,395,0
132,200,400,104.0,390,0
133,200,200,304.0,353,0
134,80,900,288.0,543,0
135,160,700,106.0,390,0
136,160,900,322.0,386,0
137,80,1000,381.0,468,0
138,120,700,122.0,389,0
139,200,800,261.0,340,0
140,160,100,476.0,358,0
141,200,800,264.0,328,0
142,160,900,326.0,393,0
143,200,1000,486.0,397,0
144,200,100,443.0,365,0
145,120,1000,435.0,697,1
146,200,300,234.0,325,0
147,120,900,299.0,535,1
148,120,800,168.0,526,0
149,200,900,421.0,693,1
150,80,300,305.0,477,0
151,120,700,144.0,337,0
152,80,900,263.0,511,0
153,160,1000,484.0,460,0
154,160,100,431.0,388,0
155,80,400,239.0,383,0
156,120,800,276.0,535,1
157,200,400,147.0,506,1
158,80,100,512.0,659,1
159,120,1000,460.0,369,0
160,200,1000,443.0,701,1
161,120,1000,394.0,734,0
162,80,700,98.0,561,0
163,80,100,514.0,1036,1
164,120,100,456.0,644,0
165,160,400,136.0,463,0
166,160,100,460.0,762,0
167,160,200,301.0,561,0
168,120,400,141.0,418,0
169,200,100,362.0,854,1
170,120,900,350.0,577,0
171,200,200,321.0,428,0
172,120,900,309.0,491,0
173,120,100,446.0,418,0
174,200,400,90.0,455,0
175,120,200,352.0,684,0
176,200,1000,442.0,417,0
177,160,1000,437.0,742,0
178,160,900,307.0,643,0
179,120,700,87.0,478,0
180,200,1000,373.0,376,0
181,120,100,434.0,434,0
182,200,100,354.0,629,0
183,80,800,230.0,856,2
184,200,200,294.0,372,0
185,200,1000,402.0,422,0
186,80,300,294.0,586,1
187,80,700,88.0,459,0
188,200,700,133.0,377,0
189,160,100,412.0,477,0
190,160,700,190.0,654,1
191,160,800,173.0,431,0
192,80,100,507.0,607,0
193,80,1000,407.0,484,0
194,200,400,158.0,342,0
195,160,200,326.0,360,0
196,160,200,315.0,485,0
197,200,1000,444.0,416,0
198,160,800,236.0,444,0
199,200,1000,509.0,681,1
200,200,700,175.0,472,0
201,200,1000,390.0,327,0
202,120,300,312.0,363,0
203,160,200,417.0,332,0
204,200,300,330.0,345,0
205,120,400,184.0,549,1
206,80,200,425.0,714,1
207,120,400,142.0,533,0
208,200,900,331.0,402,0
209,80,100,514.0,431,0
210,200,100,501.0,433,0
211,160,800,278.0,870,2
212,160,300,312.0,639,1
213,160,1000,408.0,539,0
214,80,100,538.0,862,1
215,80,100,515.0,726,0
216,120,700,131.0,573,0
217,200,400,83.0,548,0
218,120,400,159.0,543,1
219,200,100,368.0,415,0
220,120,900,359.0,558,0
221,160,200,372.0,384,0
222,120,1000,383.0,388,0
223,160,800,229.0,492,0
224,80,400,202.0,943,2
225,120,100,434.0,470,0
226,120,900,352.0,400,0
227,80,700,82.0,483,0
228,80,200,406.0,511,0
229,200,1000,415.0,412,0
230,120,800,186.0,448,0
231,120,200,426.0,383,0
232,160,800,275.0,352,0
233,80,800,239.0,382,0
234,200,1000,535.0,393,0
235,120,100,536.0,602,1
236,120,900,329.0,599,0
237,160,100,395.0,594,0
238,80,700,106.0,501,0
239,120,700,67.0,387,0
240,120,100,450.0,553,0
241,200,400,86.0,496,0
242,120,700,109.0,398,0
243,80,900,268.0,513,0
244,160,800,309.0,414,0
245,80,400,196.0,603,1
246,200,300,202.0,399,0
247,200,800,259.0,363,0
248,160,700,121.0,406,0
249,120,400,197.0,363,0
250,200,400,96.0,361,0
251,200,200,311.0,515,1
252,80,800,186.0,362,0
253,200,800,208.0,381,0
254,120,700,150.0,441,0
255,80,900,330.0,586,1
256,200,800,277.0,424,0
257,80,300,313.0,354,0
258,80,200,372.0,388,0
259,200,700,193.0,368,0
260,200,100,358.0,345,0
261,160,900,289.0,337,0
262,200,700,140.0,387,0
263,120,300,229.0,326,0
264,120,300,260.0,449,0
265,80,1000,404.0,390,0
266,80,900,314.0,655,1
267,200,200,329.0,369,0
268,160,800,268.0,260,0
269,200,100,408.0,309,0
270,120,400,147.0,433,0
271,160,200,304.0,355,0
272,200,700,223.0,358,0
273,200,900,298.0,372,0
274,160,800,225.0,451,0
275,80,900,309.0,385,0
276,80,100,531.0,659,1
277,200,400,91.0,417,0
278,200,300,185.0,320,0
279,160,100,422.0,426,0
280,80,900,338.0,383,0
281,160,900,398.0,673,1
282,160,900,334.0,674,1
283,160,200,418.0,621,1
284,160,1000,394.0,407,0
285,80,100,485.0,532,0
286,200,400,126.0,433,0
287,200,700,149.0,353,0
288,80,1000,406.0,638,0
289,80,1000,412.0,718,0
290,120,300,279.0,513,0
291,200,100,375.0,420,0
292,120,200,403.0,938,1
293,80,800,224.0,734,0
294,80,700,118.0,2632,0
295,120,800,192.0,384,0
296,200,200,285.0,368,0
297,200,700,221.0,295,0
298,160,1000,425.0,442,0
299,80,800,214.0,922,1
300,200,1000,429.0,501,0
301,120,1000,414.0,1327,1
302,160,100,416.0,641,0
303,80,400,180.0,724,0
304,200,900,274.0,487,0
305,160,400,170.0,355,0
