Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
224,160,700,98.0,601,0
225,120,800,198.0,634,0
226,160,400,149.0,427,0
227,80,900,302.0,774,0
228,120,700,122.0,730,0
229,160,400,153.0,411,0
230,120,400,181.0,770,0
231,80,100,504.0,770,0
232,80,100,518.0,857,0
233,160,800,220.0,485,0
234,200,100,400.0,708,0
235,200,900,361.0,666,0
236,160,300,269.0,465,0
237,120,100,472.0,760,0
238,160,300,292.0,537,0
239,200,300,265.0,452,0
240,120,800,227.0,752,0
241,200,100,416.0,921,0
242,120,100,534.0,709,0
243,200,200,292.0,559,0
244,80,100,512.0,1145,1
245,80,200,403.0,822,0
246,80,1000,402.0,650,0
247,120,100,481.0,736,0
248,160,800,288.0,742,1
249,120,400,170.0,437,0
250,80,1000,401.0,722,0
251,160,400,203.0,571,0
252,200,400,90.0,430,0
253,200,300,220.0,409,0
254,200,800,254.0,426,0
255,120,100,482.0,671,0
256,160,300,256.0,937,0
257,80,300,321.0,2132,1
258,200,800,264.0,599,0
259,120,100,453.0,580,0
260,80,200,395.0,812,0
261,80,1000,407.0,691,0
262,200,200,283.0,650,0
263,200,900,303.0,531,0
264,80,300,327.0,572,0
265,200,700,180.0,439,0
266,200,100,403.0,643,0
267,200,800,266.0,481,0
268,120,100,486.0,653,0
269,160,100,467.0,875,0
270,80,1000,387.0,655,0
271,200,1000,409.0,776,0
272,120,300,269.0,614,0
273,200,300,220.0,718,0
274,120,1000,428.0,742,0
275,80,900,279.0,1069,0
276,160,300,266.0,445,0
277,120,100,454.0,800,0
278,120,1000,411.0,696,0
279,80,700,83.0,684,0
280,80,700,104.0,511,0
281,120,200,350.0,673,0
282,200,800,282.0,499,0
283,120,800,208.0,813,0
284,80,200,387.0,663,0
285,80,900,313.0,538,0
286,80,200,390.0,693,0
287,160,700,189.0,443,0
288,200,200,287.0,551,0
289,160,400,110.0,542,0
290,120,800,196.0,536,0
291,200,1000,418.0,740,0
292,200,800,212.0,749,0
293,160,1000,396.0,749,0
294,200,400,182.0,419,0
295,80,400,210.0,596,0
296,80,1000,388.0,724,0
297,80,100,478.0,779,0
298,160,100,429.0,810,0
299,80,700,134.0,659,0
