Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,120,700,128.0,2078,0
2,120,1000,385.0,736,0
3,80,700,71.0,761,0
4,160,800,178.0,454,0
5,120,200,404.0,523,0
6,80,700,87.0,851,0
7,80,100,516.0,641,0
8,200,900,403.0,744,1
9,200,900,260.0,630,0
10,200,1000,488.0,664,0
11,200,300,239.0,575,0
12,80,800,203.0,880,1
13,200,1000,442.0,577,2
14,80,700,108.0,653,1
15,160,800,189.0,564,2
16,80,900,305.0,608,2
17,200,700,185.0,520,2
18,120,1000,432.0,654,2
19,120,100,536.0,415,1
20,200,900,403.0,674,2
21,120,700,69.0,480,1
22,160,100,438.0,651,2
23,160,900,395.0,531,1
24,200,400,44.0,176,0
25,80,300,333.0,194,0
26,120,700,123.0,664,2
27,200,300,294.0,365,1
28,160,1000,486.0,419,1
29,80,400,228.0,491,1
30,160,200,312.0,654,2
31,160,200,307.0,408,1
32,200,300,247.0,412,1
33,120,1000,478.0,396,1
34,80,400,183.0,241,0
35,80,200,390.0,725,2
36,80,700,86.0,593,1
37,160,400,124.0,560,2
38,80,200,399.0,626,2
39,80,200,435.0,757,1
40,200,1000,503.0,691,2
41,120,800,163.0,449,1
42,200,200,308.0,389,1
43,120,400,176.0,625,2
44,80,300,321.0,623,2
45,80,200,386.0,723,2
46,160,400,153.0,547,2
47,80,900,307.0,609,2
48,160,1000,360.0,425,1
49,120,800,258.0,696,1
50,200,900,317.0,761,3
51,80,900,270.0,470,1
52,160,300,193.0,349,1
53,160,800,267.0,403,1
54,200,700,147.0,459,1
55,80,800,173.0,358,1
56,200,900,385.0,376,1
57,160,1000,435.0,448,1
58,160,900,389.0,715,2
59,160,800,210.0,407,1
60,160,900,392.0,361,1
61,80,100,491.0,840,3
62,200,100,524.0,734,2
63,160,300,256.0,639,2
64,120,400,197.0,441,1
65,200,700,210.0,415,1
66,80,400,221.0,614,2
67,80,700,92.0,672,2
68,160,1000,478.0,424,1
69,200,900,446.0,612,2
70,80,300,323.0,546,2
71,80,100,535.0,914,3
72,200,700,138.0,259,0
73,160,700,117.0,263,0
74,80,700,101.0,465,1
75,200,800,273.0,635,2
76,160,1000,512.0,480,0
77,200,900,402.0,664,2
78,80,1000,388.0,1583,3
79,200,400,167.0,563,2
80,160,1000,443.0,512,1
81,200,900,374.0,572,1
82,160,1000,467.0,440,1
83,120,300,273.0,597,2
84,80,300,273.0,455,1
85,160,800,318.0,561,1
86,80,900,288.0,651,2
87,80,900,288.0,504,1
88,200,700,72.0,219,0
89,200,800,223.0,470,1
90,200,900,378.0,473,1
91,160,800,199.0,476,1
92,200,1000,405.0,462,1
93,80,1000,436.0,481,1
94,80,400,198.0,631,1
95,200,100,358.0,762,0
96,200,200,386.0,437,1
97,120,300,283.0,670,2
98,80,700,80.0,572,2
99,120,800,226.0,646,2
100,120,300,247.0,371,1
101,80,1000,391.0,692,2
102,160,1000,494.0,513,1
103,120,700,102.0,750,2
104,120,800,256.0,426,1
105,80,200,437.0,441,1
106,120,300,226.0,512,1
107,200,800,330.0,384,1
108,200,200,417.0,292,0
109,200,100,387.0,459,1
110,120,900,319.0,689,2
111,80,400,221.0,630,2
112,160,800,298.0,453,1
113,120,900,272.0,549,1
114,80,200,427.0,658,1
115,200,800,289.0,696,2
116,120,700,108.0,481,1
117,200,400,122.0,367,1
118,120,400,145.0,446,1
119,120,200,363.0,427,1
120,120,400,150.0,731,2
121,160,900,323.0,683,2
122,160,800,251.0,559,1
123,80,1000,417.0,816,2
