Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,80,700,108.0,967,0
2,120,300,246.0,427,0
3,80,700,117.0,673,0
4,160,300,257.0,409,0
5,120,800,235.0,583,0
6,80,300,280.0,452,0
7,200,700,196.0,521,0
8,160,300,227.0,398,0
9,80,800,211.0,577,0
10,200,300,214.0,349,0
11,160,400,104.0,855,1
12,200,400,66.0,439,0
13,160,400,121.0,436,0
14,160,1000,411.0,657,0
15,80,800,192.0,791,0
16,160,400,210.0,573,0
17,200,800,287.0,470,0
18,200,900,334.0,805,1
19,200,900,308.0,623,0
20,120,900,300.0,874,1
21,160,700,131.0,552,0
22,200,400,157.0,419,0
23,200,400,88.0,672,0
24,120,800,220.0,612,0
25,120,100,453.0,687,0
26,200,900,391.0,548,0
27,160,700,69.0,504,0
28,120,700,128.0,395,0
29,80,300,298.0,397,0
30,80,100,488.0,769,0
31,80,700,115.0,884,0
32,160,700,103.0,409,0
33,200,100,367.0,659,1
34,80,1000,399.0,660,0
35,200,1000,379.0,544,0
36,80,100,501.0,665,0
37,200,200,249.0,508,0
38,120,700,111.0,487,0
39,200,700,187.0,435,0
40,160,800,195.0,565,0
41,120,100,442.0,478,0
42,160,800,260.0,504,0
43,120,900,279.0,539,0
44,160,300,335.0,355,0
45,160,100,422.0,759,1
46,160,400,173.0,796,1
47,120,100,437.0,469,2
48,200,900,429.0,466,2
49,120,200,371.0,326,1
50,200,400,178.0,527,2
51,200,100,393.0,518,2
52,160,300,265.0,503,2
53,160,400,126.0,499,2
54,120,300,322.0,458,2
55,80,1000,418.0,641,3
56,80,100,500.0,496,2
57,120,300,333.0,541,2
58,80,200,417.0,495,2
59,200,300,143.0,355,1
60,80,1000,428.0,335,1
61,200,1000,511.0,487,2
62,120,100,496.0,375,1
63,200,200,397.0,544,2
64,160,1000,434.0,511,2
65,200,700,113.0,358,1
66,120,300,243.0,337,1
67,200,1000,549.0,339,1
68,80,700,122.0,852,4
69,120,1000,425.0,326,1
70,200,1000,450.0,481,2
71,80,200,409.0,668,3
72,120,1000,387.0,490,2
73,80,200,412.0,477,2
74,80,200,394.0,546,2
75,80,1000,435.0,514,2
76,120,900,263.0,563,2
77,80,100,515.0,680,3
78,80,400,187.0,474,1
79,120,200,325.0,564,2
80,80,900,329.0,497,2
81,200,1000,534.0,537,2
82,80,900,300.0,547,2
83,120,400,196.0,552,2
84,200,400,70.0,367,0
85,160,700,203.0,245,0
86,120,300,248.0,453,1
87,200,700,159.0,435,1
88,200,1000,389.0,348,0
89,120,1000,417.0,537,0
90,80,100,534.0,375,0
91,200,100,445.0,474,0
92,120,300,318.0,734,1
93,200,800,358.0,322,0
94,200,200,340.0,369,1
95,120,200,393.0,616,1
96,80,900,326.0,477,1
97,160,400,195.0,290,0
98,200,700,64.0,211,0
99,200,900,360.0,328,0
100,200,300,260.0,290,1
101,160,900,355.0,307,1
102,80,800,207.0,608,2
103,120,1000,418.0,370,1
104,200,400,120.0,484,1
105,80,1000,404.0,705,2
106,200,1000,406.0,518,0
107,200,300,253.0,496,1
108,120,100,459.0,607,1
109,120,300,295.0,548,2
110,160,900,341.0,192,0
111,120,100,458.0,535,2
112,120,200,407.0,742,3
113,160,300,221.0,395,0
114,200,800,195.0,312,1
115,200,400,187.0,235,0
116,160,300,221.0,364,1
117,80,200,421.0,526,1
118,160,900,377.0,316,0
119,200,100,342.0,304,0
120,120,300,241.0,448,0
121,120,700,124.0,305,0
122,160,200,302.0,298,0
