Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,160,400,183.0,493,0
2,200,200,367.0,386,0
3,160,100,460.0,380,0
4,80,400,207.0,479,0
5,160,900,279.0,390,0
6,200,1000,463.0,435,0
7,200,200,363.0,354,0
8,120,700,98.0,486,0
9,160,200,320.0,390,0
10,80,400,202.0,410,0
11,160,400,121.0,308,0
12,200,1000,528.0,425,0
13,160,100,473.0,355,0
14,160,900,370.0,554,1
15,160,1000,403.0,449,0
16,160,400,230.0,340,0
17,200,100,366.0,366,0
18,200,700,196.0,686,1
19,80,900,312.0,458,0
20,80,400,206.0,638,1
21,160,400,124.0,965,0
22,80,900,318.0,470,0
23,160,1000,416.0,398,0
24,80,700,78.0,521,0
25,200,400,103.0,323,0
26,160,1000,453.0,559,1
27,200,1000,486.0,405,0
28,120,700,116.0,426,0
29,200,800,283.0,331,0
30,200,700,173.0,349,0
31,120,300,340.0,364,0
32,200,100,491.0,650,1
33,80,300,303.0,500,0
34,120,200,364.0,567,0
35,120,400,170.0,435,0
36,80,100,512.0,538,0
37,160,400,158.0,429,0
38,80,100,478.0,551,0
39,200,200,276.0,503,0
40,120,100,473.0,538,0
41,160,1000,420.0,722,0
42,200,200,411.0,652,0
43,160,200,348.0,760,0
44,120,100,498.0,729,0
45,80,700,119.0,817,0
46,120,100,485.0,736,0
47,80,400,178.0,628,0
48,120,900,299.0,510,0
49,160,800,176.0,530,0
50,200,700,171.0,356,0
51,120,700,87.0,410,0
52,160,200,334.0,442,0
53,200,900,343.0,485,0
54,80,800,207.0,696,0
55,200,900,355.0,446,0
56,120,100,482.0,451,0
57,200,1000,397.0,456,0
58,80,900,307.0,591,0
59,200,400,169.0,344,0
60,120,700,137.0,299,0
61,200,700,91.0,363,0
62,120,700,104.0,326,0
63,80,900,292.0,346,0
64,200,700,149.0,371,0
65,200,900,395.0,358,0
66,160,800,316.0,372,0
67,80,1000,413.0,771,1
68,120,700,172.0,548,0
69,120,100,471.0,536,0
70,120,900,311.0,813,0
71,160,800,240.0,441,0
72,120,800,263.0,853,2
73,200,700,201.0,736,0
74,200,800,187.0,405,0
75,200,700,102.0,362,0
76,160,400,117.0,420,0
77,200,900,361.0,477,0
78,160,800,223.0,566,0
79,80,200,405.0,744,0
80,80,200,428.0,917,1
81,120,1000,433.0,665,0
82,80,800,200.0,691,0
83,200,1000,397.0,462,0
84,160,900,394.0,592,0
85,200,300,247.0,375,0
86,80,800,211.0,407,0
87,160,100,416.0,375,0
88,160,1000,445.0,370,0
89,160,100,490.0,592,1
90,120,300,274.0,470,0
91,120,800,262.0,609,1
92,80,300,333.0,601,1
93,160,400,97.0,384,0
94,160,1000,423.0,505,0
95,120,800,244.0,673,1
96,200,400,197.0,329,0
97,120,900,302.0,499,0
98,120,200,347.0,455,0
99,200,1000,445.0,436,0
100,160,300,312.0,362,0
101,160,300,199.0,387,0
102,160,300,230.0,333,0
103,80,400,204.0,632,1
104,200,100,528.0,549,1
105,80,200,416.0,475,0
106,160,700,188.0,565,0
107,200,300,236.0,459,0
108,160,200,288.0,627,0
109,200,700,185.0,373,0
110,160,1000,449.0,516,0
111,120,700,127.0,632,0
112,200,800,181.0,456,0
113,160,100,475.0,629,0
114,120,900,374.0,448,0
115,120,1000,423.0,1279,0
116,200,300,288.0,363,0
117,80,200,412.0,612,0
118,160,900,375.0,411,0
119,80,800,225.0,911,1
120,160,100,399.0,459,0
121,160,200,346.0,651,1
122,120,200,350.0,933,0
123,80,200,402.0,1481,0
124,200,1000,485.0,582,0
125,160,400,160.0,466,0
126,200,300,224.0,297,0
127,80,700,126.0,477,1
128,200,1000,395.0,354,0
129,120,800,212.0,633,1
130,120,100,508.0,588,1
131,120,400,200.0,504,0
132,160,1000,404.0,322,0
133,80,200,386.0,350,0
134,160,800,233.0,310,0
135,120,900,263.0,621,1
136,120,1000,374.0,590,1
137,120,100,506.0,389,0
138,200,800,242.0,339,0
139,200,700,108.0,474,1
140,120,1000,385.0,672,1
141,200,1000,473.0,709,1
142,200,800,208.0,358,0
143,160,100,437.0,1989,2
144,80,200,431.0,683,0
145,80,300,297.0,649,0
146,160,800,193.0,402,0
147,80,300,265.0,480,0
148,120,800,275.0,336,0
149,80,900,297.0,590,0
150,200,300,193.0,421,0
151,160,100,417.0,517,0
152,80,200,403.0,880,0
153,120,700,127.0,686,0
154,120,900,294.0,501,0
155,200,800,200.0,433,0
156,200,800,333.0,371,0
157,160,300,292.0,388,0
158,80,1000,418.0,494,0
159,80,400,239.0,763,1
160,120,300,316.0,586,0
161,160,100,469.0,685,1
162,80,800,203.0,519,0
163,200,200,312.0,352,0
164,160,1000,473.0,345,0
165,120,400,204.0,452,0
166,200,200,253.0,386,0
167,200,1000,450.0,398,0
168,80,800,194.0,615,0
169,120,400,200.0,368,0
170,120,300,260.0,615,1
171,160,700,127.0,362,0
172,80,700,138.0,435,0
173,160,800,233.0,395,0
174,120,800,202.0,422,0
175,120,700,121.0,408,0
176,160,200,344.0,504,0
177,120,400,235.0,391,0
178,160,200,339.0,367,0
179,120,400,132.0,385,0
180,160,700,155.0,368,0
181,80,900,306.0,381,0
182,80,100,479.0,490,0
183,200,400,78.0,449,0
184,80,200,391.0,461,0
185,80,1000,426.0,668,0
186,160,400,225.0,543,1
187,80,900,297.0,511,0
188,160,800,243.0,383,0
189,120,800,180.0,345,0
190,200,400,175.0,321,0
191,80,200,398.0,518,1
192,160,1000,445.0,388,0
193,80,300,306.0,514,1
194,80,300,294.0,538,0
195,200,1000,444.0,656,0
196,120,200,347.0,421,0
197,80,1000,415.0,468,0
198,120,100,505.0,530,0
199,80,800,188.0,665,0
200,120,900,303.0,623,0
201,120,900,349.0,649,1
202,160,200,436.0,664,1
203,80,400,195.0,656,0
204,200,900,346.0,357,0
205,200,800,240.0,355,0
206,80,1000,364.0,376,0
207,200,200,352.0,359,0
208,80,200,404.0,613,1
209,200,400,85.0,439,0
210,200,1000,468.0,488,0
211,200,300,210.0,326,0
212,200,400,126.0,372,0
213,160,900,335.0,381,0
214,200,100,350.0,353,0
215,120,1000,369.0,313,0
216,80,900,287.0,500,0
217,80,300,320.0,410,0
218,200,900,388.0,383,0
219,120,900,353.0,412,0
220,160,900,356.0,431,0
221,200,800,249.0,400,0
222,200,1000,427.0,420,0
223,80,400,201.0,371,0
224,120,100,455.0,584,0
225,120,700,118.0,673,0
226,200,100,375.0,390,0
227,160,400,116.0,398,0
228,80,400,217.0,369,0
229,160,300,294.0,335,0
230,120,900,279.0,342,0
231,80,1000,411.0,399,0
232,160,700,177.0,384,0
233,80,800,210.0,326,0
234,120,200,346.0,370,0
235,120,300,340.0,378,0
236,120,400,183.0,613,1
237,80,800,211.0,345,0
238,120,1000,443.0,400,0
239,80,900,320.0,458,0
240,120,800,254.0,690,1
241,80,400,226.0,633,1
242,160,800,204.0,337,0
243,80,1000,435.0,1059,2
244,80,700,74.0,694,1
245,200,800,274.0,374,0
246,120,200,327.0,356,0
247,200,900,316.0,376,0
248,200,1000,429.0,455,0
249,80,300,303.0,575,0
250,120,900,319.0,395,0
251,120,1000,424.0,632,0
252,200,400,155.0,320,0
253,80,800,175.0,378,0
254,120,200,343.0,628,1
255,80,700,83.0,697,0
256,160,400,135.0,325,0
257,80,100,540.0,839,1
258,200,700,177.0,461,0
259,120,1000,403.0,384,0
260,200,200,408.0,605,1
261,120,800,254.0,449,0
262,160,800,188.0,395,0
263,200,800,259.0,363,0
264,160,700,82.0,334,0
265,160,300,288.0,373,0
266,80,300,268.0,458,0
267,120,100,515.0,566,0
268,200,400,106.0,478,0
269,200,900,263.0,360,0
270,120,900,366.0,683,1
271,160,1000,415.0,723,1
272,160,800,184.0,466,0
273,200,900,362.0,414,0
274,80,200,405.0,412,0
275,80,200,422.0,443,0
276,160,200,374.0,402,0
277,120,200,356.0,355,0
278,160,800,315.0,352,0
279,160,400,144.0,321,0
280,160,900,345.0,317,0
281,80,100,534.0,726,1
282,80,700,113.0,783,1
283,80,700,107.0,402,0
284,120,800,220.0,394,0
285,200,400,144.0,340,0
286,200,100,377.0,361,0
287,80,400,198.0,714,1
288,200,800,201.0,488,0
289,120,200,334.0,639,1
290,120,1000,479.0,442,0
291,200,400,209.0,343,0
292,80,100,475.0,394,0
293,200,300,251.0,476,0
294,200,700,142.0,336,0
295,200,300,232.0,321,0
296,120,700,159.0,299,0
297,200,700,140.0,374,0
298,80,400,232.0,577,1
299,200,700,154.0,301,0
300,120,300,243.0,371,0
301,120,1000,419.0,452,0
302,120,900,333.0,653,1
303,120,900,305.0,440,0
304,120,300,331.0,417,0
305,120,100,476.0,638,0
306,120,700,155.0,835,2
307,160,800,182.0,430,0
308,120,200,370.0,392,0
309,120,400,178.0,413,0
310,200,100,389.0,392,0
311,80,1000,384.0,374,0
312,120,900,271.0,453,0
313,80,100,461.0,413,0
314,80,400,193.0,718,1
315,80,300,279.0,401,0
316,160,100,502.0,416,0
317,200,900,391.0,364,0
318,120,400,174.0,298,0
319,80,200,427.0,492,0
320,120,100,463.0,457,0
