Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,120,100,506.0,5652,0
2,120,700,145.0,628,0
3,80,900,313.0,650,1
4,80,200,395.0,568,0
5,200,1000,425.0,413,0
6,120,100,490.0,454,0
7,120,300,280.0,535,0
8,200,1000,443.0,380,0
9,120,900,313.0,640,0
10,200,400,172.0,285,0
11,120,400,171.0,720,1
12,80,800,229.0,600,1
13,200,1000,551.0,440,0
14,200,100,425.0,433,0
15,120,400,177.0,431,0
16,160,1000,429.0,491,0
17,160,400,196.0,557,1
18,200,100,394.0,516,0
19,160,200,295.0,525,0
20,120,200,343.0,569,0
21,200,1000,507.0,438,0
22,160,300,309.0,526,0
23,160,900,381.0,429,0
24,80,900,284.0,643,0
25,160,200,373.0,407,0
26,120,900,337.0,557,0
27,200,1000,441.0,639,0
28,160,700,120.0,544,0
29,120,300,314.0,437,0
30,200,700,199.0,331,0
31,120,300,274.0,473,0
32,200,200,440.0,1077,1
33,80,700,96.0,594,0
34,120,900,340.0,515,0
35,120,700,133.0,400,0
36,160,400,173.0,352,0
37,200,900,321.0,380,0
38,200,100,458.0,463,0
39,80,700,97.0,528,0
40,120,300,304.0,398,0
41,160,800,251.0,333,0
42,160,100,478.0,421,0
43,120,300,301.0,461,0
44,120,300,266.0,407,0
45,120,400,149.0,425,0
46,80,300,297.0,451,0
47,120,300,261.0,432,0
48,200,300,208.0,389,0
49,120,700,121.0,604,1
50,200,300,261.0,583,0
51,120,900,367.0,494,0
52,80,300,332.0,494,0
53,160,100,438.0,442,0
54,160,800,276.0,567,0
55,120,100,472.0,535,0
56,160,100,484.0,605,0
57,160,800,213.0,1025,0
58,200,400,210.0,621,1
59,200,1000,442.0,521,0
60,120,400,204.0,318,0
61,120,900,313.0,453,0
62,160,100,506.0,469,0
63,80,200,386.0,640,0
64,200,400,117.0,416,0
65,200,100,381.0,363,0
66,80,100,501.0,733,1
67,160,400,119.0,455,0
68,200,200,331.0,352,0
69,160,800,219.0,413,0
70,120,100,507.0,458,0
71,200,1000,413.0,534,0
72,120,300,308.0,311,0
73,200,300,152.0,402,0
74,160,100,405.0,502,0
75,120,400,171.0,680,1
76,200,400,198.0,305,0
77,120,800,207.0,404,0
78,160,700,177.0,462,0
79,80,1000,391.0,529,0
80,120,1000,412.0,596,0
81,80,1000,409.0,821,0
82,80,700,113.0,782,0
83,160,900,323.0,406,0
84,200,800,243.0,426,0
85,120,100,437.0,456,0
86,120,300,229.0,432,0
87,80,100,520.0,851,2
88,120,900,352.0,689,0
89,120,900,333.0,584,0
90,200,800,234.0,424,0
91,200,900,306.0,393,0
92,120,300,288.0,394,0
93,160,900,369.0,505,0
94,120,100,460.0,447,0
95,200,200,284.0,482,0
96,80,800,226.0,377,0
97,120,100,465.0,684,1
98,80,700,128.0,769,1
99,160,200,364.0,488,0
100,120,100,514.0,606,0
101,200,800,255.0,436,0
102,120,800,217.0,630,0
103,160,900,365.0,487,0
104,160,1000,456.0,493,0
105,80,400,227.0,621,1
106,120,1000,476.0,792,0
107,200,900,304.0,600,0
108,80,100,489.0,677,0
109,80,100,482.0,889,0
110,160,400,124.0,483,0
111,200,1000,409.0,589,0
112,80,800,185.0,737,0
113,120,400,204.0,433,0
114,160,700,104.0,375,0
115,80,400,177.0,488,0
116,80,800,189.0,500,0
117,120,200,323.0,534,0
118,160,800,238.0,368,0
119,160,200,330.0,568,0
120,120,800,194.0,458,0
121,200,700,133.0,458,0
122,120,700,105.0,407,0
123,160,700,122.0,380,0
124,160,200,291.0,373,0
125,200,200,249.0,432,0
126,160,800,222.0,430,0
127,160,800,200.0,397,0
128,200,800,189.0,395,0
129,160,700,154.0,382,0
130,80,800,229.0,378,0
131,120,200,373.0,441,0
132,200,900,316.0,419,0
133,80,900,279.0,629,0
134,80,700,99.0,542,0
135,200,1000,501.0,609,0
136,200,400,220.0,378,0
137,120,1000,411.0,478,0
138,160,700,198.0,504,0
139,80,400,199.0,454,0
140,160,100,462.0,498,0
141,80,900,321.0,434,0
142,120,200,332.0,468,0
143,200,100,438.0,459,0
144,120,700,121.0,487,0
145,120,900,303.0,441,0
146,80,800,227.0,686,0
147,160,400,164.0,360,0
148,200,100,428.0,377,0
149,200,800,245.0,346,0
150,80,100,498.0,590,0
151,120,400,147.0,430,0
152,160,100,485.0,490,0
153,200,100,494.0,789,1
154,80,1000,395.0,582,0
155,120,900,280.0,691,0
156,160,800,206.0,484,0
157,120,300,293.0,357,0
158,160,1000,406.0,581,0
159,120,200,350.0,464,0
160,80,300,274.0,638,0
161,160,400,127.0,453,0
162,160,200,313.0,442,0
163,200,200,327.0,676,1
164,160,400,118.0,406,0
165,200,700,99.0,361,0
166,120,900,298.0,452,0
167,200,800,225.0,423,0
168,80,300,339.0,386,0
169,160,400,123.0,682,1
170,80,1000,389.0,616,0
171,120,200,355.0,506,0
172,120,200,363.0,549,0
173,200,200,308.0,439,0
174,200,200,366.0,436,0
175,80,1000,402.0,544,0
176,120,800,204.0,672,0
177,120,700,95.0,456,0
178,120,300,278.0,536,0
179,80,1000,415.0,515,0
180,200,200,326.0,444,0
181,80,800,182.0,368,0
182,160,700,125.0,485,0
183,80,800,197.0,566,0
184,80,200,387.0,503,0
185,80,1000,429.0,435,0
186,160,300,274.0,363,0
187,160,300,243.0,625,1
188,160,800,181.0,362,0
189,80,900,272.0,485,0
190,80,300,340.0,415,0
191,120,100,518.0,713,1
192,160,1000,485.0,538,0
193,160,200,329.0,421,0
194,120,800,176.0,370,0
195,160,400,164.0,349,0
196,160,100,417.0,410,0
197,120,200,355.0,759,1
198,80,700,138.0,705,0
199,120,400,173.0,377,0
200,80,300,290.0,544,0
201,200,100,351.0,421,0
202,80,700,117.0,494,0
203,120,700,96.0,677,0
204,160,700,138.0,450,0
205,120,200,362.0,476,0
206,80,400,190.0,560,0
207,160,1000,463.0,508,0
208,80,1000,408.0,749,0
209,200,900,308.0,575,0
210,80,200,392.0,719,0
211,160,100,446.0,549,0
212,160,200,315.0,611,0
213,80,800,202.0,496,0
214,160,400,147.0,404,0
215,160,200,373.0,732,0
216,200,800,231.0,470,0
217,160,800,230.0,490,0
218,120,200,367.0,491,0
219,120,700,166.0,642,1
220,80,200,397.0,556,0
221,160,100,447.0,543,0
222,200,900,409.0,573,0
223,160,800,247.0,663,0
224,200,100,466.0,473,0
225,80,900,322.0,593,0
226,200,700,112.0,474,0
227,120,900,300.0,590,0
228,120,1000,409.0,643,0
229,160,900,318.0,523,0
230,80,300,281.0,503,0
231,200,100,410.0,552,0
232,200,200,268.0,478,0
233,160,400,138.0,419,0
234,200,700,142.0,437,0
235,160,300,246.0,416,0
236,200,700,191.0,342,0
237,200,1000,394.0,485,0
238,80,100,514.0,595,0
239,80,300,315.0,601,0
240,120,700,129.0,358,0
241,200,1000,405.0,386,0
242,160,800,289.0,486,0
243,120,200,403.0,430,0
244,160,300,256.0,661,1
245,120,1000,412.0,484,0
246,200,700,123.0,422,0
247,200,200,294.0,323,0
248,160,1000,363.0,327,0
249,120,200,404.0,450,0
250,200,200,295.0,390,0
251,200,300,159.0,348,0
252,160,800,208.0,331,0
253,120,700,145.0,371,0
254,120,200,370.0,402,0
255,160,800,179.0,370,0
256,160,100,449.0,468,0
257,120,900,369.0,366,0
258,200,700,180.0,428,0
259,200,700,105.0,344,0
260,200,1000,420.0,374,0
261,200,900,332.0,433,0
262,200,900,265.0,359,0
263,160,200,391.0,429,0
264,160,100,411.0,399,0
265,120,300,297.0,405,0
266,200,1000,533.0,372,0
267,200,300,338.0,296,0
268,80,100,476.0,428,0
269,160,100,428.0,449,0
270,80,1000,405.0,311,0
271,80,200,439.0,609,1
272,200,200,432.0,386,0
273,200,100,434.0,333,0
274,120,700,128.0,547,1
275,200,900,298.0,367,0
276,120,800,253.0,700,1
277,200,300,283.0,357,0
278,120,800,258.0,363,0
279,160,1000,456.0,625,1
280,200,1000,409.0,1438,0
281,120,300,312.0,474,0
282,80,700,126.0,345,0
283,120,700,68.0,386,0
284,120,300,248.0,489,0
285,200,300,235.0,363,0
286,160,300,242.0,370,0
287,120,900,338.0,358,0
288,200,900,327.0,439,0
289,120,200,416.0,648,1
290,80,1000,432.0,563,0
291,160,800,200.0,814,1
292,200,700,124.0,435,0
293,200,1000,409.0,494,0
294,200,900,336.0,739,1
295,200,200,318.0,344,0
296,160,1000,408.0,614,1
297,160,900,304.0,475,0
298,160,1000,427.0,384,0
299,200,700,146.0,417,0
300,160,900,369.0,367,0
301,160,100,453.0,476,0
302,200,1000,532.0,649,1
303,160,1000,449.0,757,1
304,120,200,387.0,467,0
305,160,800,201.0,685,0
306,80,100,488.0,615,0
307,80,400,192.0,644,0
308,200,200,325.0,390,0
309,80,200,393.0,723,0
310,80,200,419.0,954,1
311,80,700,106.0,679,0
312,160,700,128.0,367,0
313,200,700,135.0,378,0
314,200,700,89.0,332,0
315,160,900,292.0,409,0
316,80,700,106.0,487,0
317,80,400,217.0,829,2
318,80,100,496.0,629,0
319,200,1000,523.0,411,0
320,200,200,361.0,400,0
