Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,200,1000,427.0,984,0
2,200,800,217.0,640,0
3,160,900,327.0,543,0
4,80,400,192.0,475,0
5,160,400,193.0,367,0
6,200,1000,523.0,716,1
7,160,700,106.0,439,0
8,120,300,292.0,390,0
9,200,400,125.0,382,0
10,200,900,304.0,427,0
11,80,800,208.0,611,0
12,160,300,184.0,366,0
13,120,300,280.0,512,0
14,160,900,306.0,394,0
15,80,200,433.0,418,0
16,80,900,336.0,381,0
17,80,700,105.0,603,0
18,200,100,425.0,445,0
19,120,800,277.0,327,0
20,200,1000,396.0,454,0
21,120,800,189.0,697,0
22,160,300,251.0,378,0
23,80,100,502.0,595,0
24,160,1000,364.0,597,0
25,120,800,160.0,468,0
26,160,1000,448.0,409,0
27,160,100,535.0,634,1
28,200,800,289.0,455,0
29,160,400,219.0,543,1
30,80,200,401.0,650,0
31,80,1000,402.0,453,0
32,200,100,389.0,403,0
33,160,800,285.0,306,0
34,160,1000,387.0,429,0
35,120,100,504.0,653,0
36,120,1000,429.0,548,0
37,160,400,209.0,315,0
38,200,200,305.0,608,1
39,160,1000,400.0,464,0
40,200,300,223.0,325,0
41,80,200,374.0,701,0
42,80,100,486.0,704,0
43,80,800,226.0,555,0
44,80,200,408.0,650,0
45,160,400,131.0,543,0
46,160,300,226.0,374,0
47,160,700,148.0,394,0
48,80,100,498.0,561,0
49,120,100,500.0,667,0
50,200,900,409.0,536,0
51,80,100,494.0,733,0
52,120,100,505.0,614,0
53,160,100,473.0,510,0
54,200,200,327.0,429,0
55,200,1000,447.0,434,0
56,120,100,536.0,406,0
57,120,900,329.0,412,0
58,160,700,90.0,543,0
59,80,400,212.0,346,0
60,200,300,148.0,360,0
61,200,300,296.0,466,1
62,200,400,128.0,431,0
63,80,900,327.0,987,1
64,200,300,299.0,555,0
65,200,300,171.0,444,0
66,160,700,182.0,487,0
67,120,800,207.0,558,0
68,200,300,264.0,379,0
69,160,100,414.0,627,0
70,80,100,500.0,672,0
71,200,200,304.0,661,0
72,80,900,291.0,823,0
73,120,200,357.0,500,0
74,200,700,146.0,348,0
75,200,400,144.0,356,0
76,200,400,108.0,341,0
77,80,300,307.0,413,0
78,200,900,334.0,395,0
79,120,800,232.0,624,0
80,80,200,410.0,549,0
81,80,800,233.0,1260,3
82,160,900,274.0,458,0
83,80,800,207.0,722,0
84,120,800,227.0,627,0
85,80,700,105.0,551,0
86,200,400,105.0,355,0
87,200,300,168.0,377,0
88,120,900,309.0,555,0
89,160,200,339.0,441,0
90,200,400,143.0,453,0
91,160,100,467.0,438,0
92,160,400,94.0,456,0
93,80,100,475.0,507,0
94,200,100,497.0,686,0
95,160,400,167.0,570,0
96,160,200,337.0,786,0
97,200,1000,437.0,414,0
98,80,1000,412.0,676,0
99,80,900,290.0,737,0
100,200,1000,470.0,486,0
101,200,900,332.0,590,0
102,160,700,107.0,441,0
103,120,200,343.0,553,0
104,120,200,372.0,597,0
105,200,900,399.0,557,0
106,200,800,257.0,559,0
107,200,700,75.0,436,0
108,120,400,171.0,426,0
109,120,200,367.0,605,0
110,160,200,351.0,640,0
111,80,800,209.0,574,0
112,160,1000,423.0,643,0
113,120,800,214.0,790,0
114,80,100,493.0,710,0
115,80,900,322.0,594,0
116,160,200,354.0,414,0
117,160,300,254.0,454,0
118,200,700,142.0,370,0
119,80,400,196.0,465,0
120,200,400,126.0,377,0
121,120,700,152.0,355,0
122,120,900,300.0,468,0
123,120,800,189.0,468,0
124,160,900,303.0,406,0
125,120,1000,425.0,683,1
126,120,100,506.0,461,0
127,120,200,344.0,835,1
128,80,100,495.0,642,0
129,200,300,211.0,471,0
130,80,800,195.0,403,0
131,120,200,369.0,435,0
132,120,300,319.0,696,1
133,120,400,154.0,445,0
134,160,100,462.0,488,0
135,80,100,489.0,975,0
136,160,400,152.0,447,0
137,120,800,198.0,451,0
138,80,1000,380.0,606,0
139,200,800,249.0,510,0
140,160,800,234.0,473,0
141,80,900,279.0,614,0
142,200,300,274.0,458,0
143,80,1000,382.0,578,0
144,120,1000,403.0,682,0
145,120,1000,436.0,589,0
146,80,100,527.0,518,0
147,80,700,132.0,860,0
148,80,1000,422.0,776,0
149,120,900,288.0,648,0
150,120,200,372.0,539,0
151,200,200,297.0,546,0
152,80,1000,394.0,584,0
153,160,700,69.0,499,0
154,80,1000,382.0,554,0
155,80,200,410.0,591,0
156,120,700,149.0,748,0
157,200,300,221.0,439,0
158,200,900,310.0,462,0
159,200,1000,490.0,742,0
160,160,100,427.0,540,0
161,200,1000,402.0,1036,0
162,80,300,316.0,500,0
163,80,400,184.0,711,0
164,120,1000,403.0,597,0
165,120,300,297.0,691,0
166,120,300,224.0,499,0
167,120,900,309.0,522,0
168,120,1000,419.0,613,0
169,80,800,201.0,669,0
170,200,400,133.0,384,0
171,120,700,148.0,376,0
172,200,300,240.0,363,0
173,160,800,266.0,353,0
174,120,800,160.0,458,0
175,160,200,365.0,441,0
176,80,900,286.0,446,0
177,160,900,282.0,476,0
178,120,300,278.0,520,0
179,80,100,490.0,668,0
180,160,900,407.0,524,0
181,200,800,194.0,480,0
182,200,1000,426.0,516,0
183,160,900,265.0,656,0
184,120,100,460.0,535,0
185,200,100,402.0,650,0
186,200,1000,484.0,394,0
187,120,200,365.0,375,0
188,120,100,446.0,654,0
189,200,700,228.0,398,0
190,160,800,228.0,429,0
191,80,100,497.0,553,0
192,120,800,263.0,630,1
193,120,900,291.0,467,0
194,200,800,209.0,476,0
195,120,700,132.0,480,0
196,80,700,108.0,580,1
197,200,1000,504.0,428,0
198,120,200,383.0,443,0
199,200,100,364.0,650,0
200,120,1000,406.0,521,0
201,80,300,319.0,422,0
202,80,700,123.0,594,1
203,160,700,95.0,390,0
204,80,100,491.0,583,0
205,120,300,262.0,585,0
206,160,100,398.0,463,0
207,80,100,470.0,722,0
208,80,400,212.0,665,0
209,200,700,90.0,363,0
210,120,900,306.0,588,0
211,160,1000,380.0,509,0
212,120,1000,478.0,500,0
213,200,300,324.0,659,1
214,80,400,207.0,520,0
215,160,700,142.0,318,0
216,80,700,76.0,414,0
217,120,1000,411.0,516,0
218,120,1000,431.0,654,0
219,200,1000,414.0,531,0
220,200,700,155.0,519,0
221,120,400,184.0,405,0
222,120,700,128.0,305,0
223,80,700,69.0,473,0
224,200,100,409.0,485,0
225,120,1000,419.0,508,0
226,120,300,242.0,396,0
227,120,300,268.0,662,0
