Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,120,200,378.0,1114,0
2,120,100,488.0,583,0
3,80,900,309.0,822,1
4,80,300,322.0,627,1
5,120,200,375.0,591,0
6,120,1000,447.0,858,1
7,200,800,251.0,487,0
8,80,100,475.0,626,0
9,80,200,383.0,818,1
10,200,400,121.0,468,0
11,80,900,314.0,557,0
12,120,800,193.0,535,0
13,120,700,153.0,634,0
14,200,800,171.0,432,0
15,80,800,213.0,596,0
16,160,300,304.0,448,0
17,160,100,532.0,725,0
18,80,100,507.0,799,0
19,200,700,197.0,676,1
20,200,900,437.0,693,1
21,80,100,523.0,1011,1
22,200,900,394.0,715,1
23,80,400,237.0,579,0
24,200,300,213.0,407,0
25,160,900,262.0,486,0
26,200,200,297.0,391,0
27,160,300,213.0,503,0
28,80,400,207.0,527,0
29,160,100,411.0,776,2
30,120,300,279.0,517,0
31,120,400,136.0,506,0
32,160,700,102.0,433,0
33,120,200,352.0,712,0
34,200,1000,466.0,529,0
35,80,100,495.0,727,0
36,200,800,359.0,426,0
37,80,900,333.0,681,0
38,120,900,311.0,856,1
39,80,1000,386.0,984,0
40,160,200,439.0,437,0
41,200,100,398.0,497,0
42,80,400,212.0,779,1
43,120,300,285.0,507,0
44,200,400,90.0,442,0
45,200,400,190.0,1265,1
46,160,800,231.0,664,0
47,200,1000,449.0,635,0
48,80,100,526.0,1340,0
49,160,700,128.0,639,0
50,120,200,416.0,1117,0
51,80,800,180.0,1543,0
52,160,100,423.0,471,0
53,80,100,480.0,894,0
54,80,800,182.0,598,0
55,200,800,252.0,531,0
56,200,1000,391.0,551,0
57,160,1000,453.0,1077,2
58,160,1000,370.0,600,0
59,80,900,305.0,899,0
60,80,400,212.0,715,0
61,200,200,269.0,485,0
62,200,700,224.0,403,0
63,200,200,325.0,428,0
64,120,300,230.0,686,0
65,200,900,286.0,432,0
66,160,800,187.0,512,0
67,160,700,157.0,660,0
68,160,100,424.0,582,0
69,200,800,294.0,403,0
70,80,100,488.0,619,0
71,80,800,236.0,602,0
72,80,900,272.0,1064,0
73,160,800,263.0,941,0
74,160,100,424.0,639,0
75,120,800,214.0,552,0
76,200,100,452.0,704,0
77,80,1000,398.0,565,0
78,200,700,137.0,526,0
79,200,800,204.0,442,0
80,80,1000,409.0,705,0
81,80,300,304.0,656,0
82,160,200,345.0,510,0
83,80,400,177.0,652,0
84,80,800,212.0,737,0
85,120,400,138.0,492,0
86,200,700,157.0,374,0
87,160,400,192.0,368,0
88,80,100,514.0,723,0
89,120,700,144.0,543,0
90,160,300,211.0,601,0
91,160,700,198.0,397,0
92,120,400,168.0,578,0
93,120,1000,369.0,663,0
94,120,400,206.0,577,0
95,200,200,272.0,434,0
96,80,1000,407.0,536,0
97,80,200,420.0,1002,1
98,160,300,270.0,1075,2
99,120,1000,406.0,1019,1
100,200,200,330.0,544,0
101,200,100,498.0,705,1
102,200,800,315.0,436,0
103,120,1000,377.0,648,0
104,120,200,368.0,574,0
105,80,300,328.0,933,0
106,200,200,325.0,669,0
107,80,800,200.0,604,0
108,120,400,180.0,545,0
109,200,800,286.0,393,0
110,120,200,338.0,582,0
111,160,1000,379.0,431,0
112,80,300,303.0,644,0
113,160,100,405.0,739,0
114,120,1000,413.0,550,0
115,120,400,193.0,545,0
116,160,800,244.0,467,0
117,200,400,173.0,368,0
118,160,400,127.0,481,0
119,80,900,316.0,702,1
120,160,300,272.0,394,0
121,120,800,228.0,357,0
122,160,1000,372.0,593,0
123,160,400,162.0,595,0
124,160,1000,372.0,441,0
125,80,100,520.0,665,0
126,80,900,261.0,628,1
127,160,800,176.0,512,0
128,120,300,249.0,436,0
129,120,800,239.0,385,0
130,80,200,375.0,585,0
131,160,1000,432.0,471,0
132,80,800,167.0,671,0
133,120,900,298.0,760,1
134,120,900,350.0,609,0
135,160,300,244.0,542,0
136,200,900,322.0,477,0
137,200,400,99.0,490,0
138,80,900,288.0,622,0
139,160,100,439.0,903,0
140,80,200,381.0,1107,0
141,160,1000,450.0,589,0
142,160,1000,425.0,839,0
143,200,300,231.0,450,0
144,200,800,310.0,452,0
145,200,800,205.0,552,0
146,160,300,229.0,612,0
147,120,300,259.0,637,0
148,160,900,323.0,414,0
149,80,1000,386.0,791,0
150,80,700,108.0,690,0
151,160,900,297.0,497,0
152,200,300,153.0,559,0
153,120,800,273.0,609,1
154,80,1000,395.0,681,0
155,200,400,184.0,387,0
156,200,800,212.0,413,0
157,200,1000,520.0,496,0
158,160,100,421.0,603,0
159,120,900,335.0,843,1
160,120,700,101.0,692,0
161,160,400,104.0,397,0
162,200,300,158.0,430,0
163,80,200,425.0,695,0
164,120,700,157.0,619,1
165,80,100,497.0,602,0
166,160,900,294.0,452,0
167,200,900,368.0,767,0
168,80,200,413.0,817,0
169,80,100,494.0,991,1
170,160,100,426.0,904,0
171,80,700,95.0,819,0
172,120,400,180.0,512,0
173,200,100,377.0,530,0
174,120,900,305.0,642,0
175,200,200,308.0,535,0
176,160,800,213.0,381,0
177,80,100,490.0,683,0
178,200,400,62.0,518,0
179,160,700,118.0,351,0
