Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,200,800,200.0,2818,0
2,200,100,387.0,798,0
3,160,200,345.0,904,0
4,160,100,430.0,911,0
5,120,900,295.0,834,0
6,80,100,485.0,753,0
7,200,100,454.0,856,0
8,80,400,188.0,827,0
9,120,400,164.0,628,0
10,120,100,454.0,1363,0
11,120,400,181.0,938,0
12,80,1000,377.0,891,0
13,120,1000,400.0,1065,0
14,120,900,295.0,963,0
15,200,1000,434.0,835,0
16,160,200,357.0,785,0
17,200,300,169.0,754,0
18,120,1000,405.0,865,0
19,160,700,122.0,913,0
20,80,1000,398.0,1061,0
21,160,400,134.0,689,0
22,200,100,416.0,832,0
23,120,300,270.0,916,0
24,120,400,161.0,862,0
25,160,300,224.0,817,0
26,160,700,195.0,624,0
27,160,200,282.0,671,0
28,80,100,492.0,1010,0
29,80,200,377.0,1040,0
30,200,200,342.0,551,0
31,80,1000,421.0,639,0
32,200,200,387.0,655,0
33,120,1000,398.0,543,0
34,200,300,204.0,488,0
35,80,100,468.0,1042,1
36,160,1000,409.0,588,0
37,120,400,161.0,593,0
38,200,400,42.0,364,0
39,160,1000,426.0,638,0
40,160,1000,379.0,940,0
41,200,700,113.0,554,0
42,200,700,77.0,521,0
43,160,700,123.0,469,0
44,160,900,276.0,431,0
45,200,200,314.0,563,0
46,160,400,126.0,705,0
47,160,400,102.0,453,0
48,80,300,315.0,666,0
49,160,700,142.0,589,0
50,200,700,108.0,479,0
51,160,800,252.0,540,0
52,120,900,293.0,829,0
53,160,300,240.0,488,0
54,160,700,155.0,616,0
55,200,200,261.0,490,0
56,160,1000,443.0,681,0
57,200,200,312.0,588,0
58,160,400,122.0,874,1
59,80,700,123.0,579,0
60,160,100,435.0,714,0
61,200,100,444.0,844,1
62,160,900,386.0,618,0
63,80,1000,400.0,927,0
64,200,700,79.0,545,0
65,120,700,104.0,507,0
66,120,700,137.0,433,0
67,120,100,464.0,686,0
68,120,100,490.0,846,0
69,120,800,213.0,580,0
70,200,900,352.0,595,0
71,80,800,170.0,911,0
72,200,900,415.0,774,0
73,80,300,296.0,708,0
74,120,700,166.0,725,0
75,120,900,317.0,689,0
76,80,200,384.0,911,1
77,160,200,339.0,546,0
78,120,700,114.0,515,0
79,80,200,390.0,796,0
80,160,800,240.0,526,0
81,160,700,120.0,882,1
82,120,1000,416.0,849,0
83,200,700,203.0,804,1
84,160,100,415.0,701,0
85,160,300,272.0,835,1
86,160,300,233.0,490,0
87,160,100,491.0,577,0
88,120,700,122.0,976,1
89,80,1000,391.0,794,0
90,120,300,291.0,799,0
91,160,700,148.0,535,0
92,200,400,146.0,545,0
93,120,300,272.0,541,0
94,120,800,237.0,461,0
95,80,900,279.0,927,0
96,80,800,184.0,783,0
97,160,1000,455.0,609,0
98,120,100,481.0,784,0
