Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,160,1000,447.0,1407,0
2,80,800,215.0,1045,0
3,80,100,486.0,679,0
4,120,700,143.0,730,0
5,200,700,178.0,452,0
6,160,900,350.0,443,0
7,160,900,349.0,785,0
8,80,100,506.0,740,0
9,120,1000,427.0,966,0
10,160,400,161.0,772,0
11,120,700,118.0,792,0
12,120,300,270.0,716,0
13,200,700,192.0,700,0
14,200,200,330.0,544,0
15,160,1000,444.0,791,0
16,120,200,365.0,926,0
17,160,800,229.0,647,0
18,160,200,359.0,801,0
19,160,900,340.0,488,0
20,200,1000,426.0,849,0
21,80,300,292.0,896,0
22,200,800,273.0,452,0
23,120,900,313.0,649,0
24,160,100,429.0,608,0
25,120,700,131.0,657,0
26,200,300,242.0,503,0
27,120,100,460.0,1018,0
28,160,1000,433.0,758,0
29,120,1000,389.0,920,0
30,120,900,306.0,1020,0
31,120,900,364.0,987,0
32,200,800,204.0,535,0
33,160,900,311.0,783,1
34,160,200,334.0,571,0
35,120,300,324.0,619,0
36,120,100,511.0,952,1
37,80,700,109.0,850,0
38,160,200,368.0,635,0
39,120,1000,433.0,655,0
40,160,200,379.0,535,0
41,120,200,379.0,733,0
42,80,100,507.0,977,0
43,80,900,281.0,882,0
44,160,400,119.0,577,0
45,120,200,368.0,808,0
46,120,900,338.0,691,0
47,200,1000,507.0,523,0
48,80,200,391.0,509,0
49,120,400,156.0,679,0
50,120,100,449.0,491,0
51,160,300,271.0,558,0
52,200,400,136.0,448,0
53,200,900,331.0,489,0
54,160,400,186.0,627,1
55,200,900,359.0,502,0
56,200,800,266.0,530,0
57,80,1000,370.0,915,0
58,80,100,491.0,881,0
59,120,700,134.0,771,0
60,200,700,122.0,404,0
61,200,900,357.0,423,0
62,80,800,172.0,570,0
63,120,900,332.0,515,0
64,80,900,301.0,800,1
65,200,800,193.0,503,0
66,80,800,230.0,811,1
67,80,1000,385.0,859,0
68,80,800,208.0,752,0
69,80,300,293.0,632,0
70,160,700,168.0,584,0
71,80,700,82.0,551,0
72,160,700,175.0,470,0
73,200,700,64.0,390,0
74,160,800,209.0,431,0
75,80,900,306.0,899,1
76,160,1000,457.0,576,0
77,160,1000,391.0,471,0
78,200,1000,548.0,529,0
79,200,400,200.0,644,1
80,80,900,269.0,482,0
81,160,400,152.0,406,0
82,200,900,371.0,543,0
83,80,100,489.0,691,0
84,80,300,298.0,692,0
85,80,100,482.0,638,0
86,200,300,201.0,546,0
87,80,700,113.0,557,0
88,120,200,415.0,642,0
89,160,300,282.0,536,0
90,160,700,204.0,336,0
91,200,300,180.0,642,1
92,200,900,304.0,437,0
93,80,1000,419.0,809,1
94,80,800,233.0,722,0
95,200,800,179.0,394,0
96,160,1000,407.0,632,0
97,200,800,269.0,1417,1
98,200,100,373.0,674,0
99,80,300,323.0,702,0
100,80,200,435.0,919,1
101,80,400,220.0,605,0
102,160,900,280.0,474,0
103,160,700,82.0,404,0
104,80,1000,397.0,695,0
105,200,700,130.0,505,0
106,120,900,286.0,433,0
107,200,100,414.0,543,0
