Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,160,800,215.0,571,0
2,160,400,237.0,355,0
3,160,700,173.0,347,0
4,160,400,218.0,313,0
5,200,700,220.0,285,0
6,200,800,237.0,380,0
7,80,700,136.0,400,0
8,200,800,308.0,377,0
9,120,100,477.0,554,0
10,120,1000,451.0,426,0
11,120,100,468.0,522,0
12,200,100,418.0,517,0
13,160,300,262.0,419,0
14,160,700,218.0,384,0
15,200,900,414.0,467,0
16,120,1000,460.0,645,0
17,200,700,110.0,474,0
18,80,200,399.0,522,0
19,120,400,148.0,758,1
20,80,800,220.0,386,0
21,80,100,519.0,610,0
22,200,300,221.0,484,0
23,160,700,136.0,348,0
24,120,100,473.0,494,0
25,160,900,346.0,565,0
26,80,800,210.0,729,0
27,120,1000,405.0,522,0
28,200,1000,410.0,675,0
29,200,1000,437.0,617,0
30,120,700,125.0,621,0
31,160,400,185.0,371,0
32,160,200,384.0,566,0
33,160,200,335.0,615,0
34,200,100,417.0,457,0
35,80,100,502.0,669,0
36,80,100,485.0,672,0
37,120,700,122.0,431,0
38,200,900,336.0,377,0
39,120,100,493.0,427,0
40,160,900,412.0,370,0
41,200,100,406.0,362,0
42,200,800,341.0,317,0
43,80,800,164.0,490,0
44,160,200,319.0,496,0
45,160,1000,438.0,508,0
46,200,100,418.0,398,0
47,160,200,321.0,591,0
48,200,1000,465.0,431,0
49,120,100,477.0,446,0
50,200,1000,534.0,498,0
51,200,300,295.0,508,0
52,160,800,288.0,495,0
53,80,1000,419.0,792,0
54,80,900,307.0,1022,1
55,160,400,185.0,503,0
56,200,800,214.0,363,0
57,200,400,148.0,323,0
58,160,300,207.0,365,0
59,80,300,308.0,454,0
60,120,900,309.0,405,0
61,80,900,293.0,702,0
62,200,100,375.0,519,0
63,80,300,297.0,745,0
64,80,200,436.0,1485,0
65,200,200,310.0,467,0
66,200,200,289.0,429,0
67,200,300,213.0,409,0
68,120,1000,411.0,556,0
69,160,300,334.0,500,0
70,120,900,345.0,567,0
71,160,900,304.0,565,0
72,160,700,111.0,453,0
73,120,100,456.0,466,0
74,160,900,386.0,641,0
75,200,400,196.0,419,0
76,200,200,256.0,513,0
77,80,900,307.0,530,0
78,200,900,319.0,656,0
79,160,800,195.0,797,1
80,160,300,303.0,402,0
81,200,800,330.0,368,0
82,80,400,232.0,615,1
83,160,400,81.0,427,0
84,120,200,338.0,474,0
85,80,400,186.0,512,0
86,160,900,318.0,508,0
87,200,800,230.0,1145,0
88,160,800,222.0,613,0
89,160,300,325.0,904,0
90,80,900,317.0,570,0
91,80,100,487.0,652,0
92,160,200,325.0,668,0
93,80,1000,418.0,671,0
94,160,100,471.0,454,0
95,160,400,98.0,443,0
96,200,200,360.0,446,0
97,120,800,259.0,571,0
98,160,1000,426.0,707,0
99,200,400,180.0,471,0
100,120,1000,390.0,531,0
101,160,100,408.0,458,0
102,80,100,498.0,613,0
103,160,300,234.0,544,0
104,200,800,286.0,439,0
105,120,700,111.0,495,0
106,160,800,184.0,444,0
