Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,120,700,129.0,785,0
2,160,700,163.0,509,0
3,160,200,411.0,499,0
4,80,700,126.0,730,0
5,80,1000,381.0,540,0
6,120,400,213.0,908,1
7,160,700,152.0,578,0
8,120,800,184.0,562,0
9,120,800,196.0,532,0
10,120,800,190.0,411,0
11,160,300,254.0,649,0
12,200,700,210.0,664,1
13,120,100,504.0,524,0
14,120,300,254.0,780,0
15,200,200,285.0,837,1
16,200,900,370.0,547,0
17,80,100,517.0,691,0
18,80,400,198.0,835,0
19,160,800,247.0,595,0
20,200,400,175.0,536,0
21,200,300,219.0,562,0
22,80,400,201.0,752,0
23,120,1000,390.0,625,0
24,120,800,198.0,544,0
25,200,300,221.0,420,0
26,200,200,295.0,593,0
27,80,1000,423.0,554,0
28,160,1000,430.0,566,0
29,200,300,300.0,731,1
30,200,800,326.0,566,0
31,80,900,285.0,767,0
32,160,400,225.0,412,0
33,160,700,175.0,504,0
34,160,800,161.0,631,0
35,200,400,141.0,453,0
36,160,200,315.0,787,0
37,160,100,479.0,732,0
38,120,1000,456.0,733,0
39,160,800,199.0,587,0
40,80,1000,401.0,812,0
41,160,400,233.0,559,0
42,200,100,345.0,889,1
43,120,400,124.0,577,0
44,80,100,480.0,770,0
45,120,700,158.0,564,0
46,200,1000,379.0,795,1
47,160,700,110.0,544,0
48,120,400,156.0,348,0
49,80,700,126.0,671,1
50,200,800,202.0,406,0
51,80,200,374.0,524,0
52,160,400,86.0,494,0
53,200,200,248.0,449,0
54,200,1000,420.0,411,0
55,80,700,64.0,498,0
56,200,800,211.0,429,0
57,120,1000,381.0,456,0
58,80,900,313.0,485,0
59,200,300,328.0,502,0
60,80,400,209.0,450,0
61,120,900,296.0,427,0
62,120,900,329.0,435,0
63,160,800,231.0,466,0
64,80,1000,429.0,776,1
65,160,200,324.0,475,0
66,200,700,216.0,642,1
67,200,800,191.0,439,0
68,160,900,270.0,675,1
69,120,300,295.0,710,0
70,80,300,309.0,809,0
71,200,300,186.0,469,0
72,80,1000,404.0,606,0
73,80,200,434.0,627,0
74,120,800,278.0,903,1
75,120,300,283.0,566,0
76,200,1000,426.0,480,0
77,120,1000,454.0,802,0
78,160,100,416.0,467,0
79,80,1000,430.0,494,0
80,80,200,384.0,619,0
81,160,1000,416.0,457,0
82,80,100,499.0,578,0
83,200,700,245.0,599,1
84,120,100,448.0,952,1
85,120,1000,453.0,637,0
86,200,700,110.0,793,1
87,80,300,308.0,603,0
88,80,300,308.0,811,0
89,160,900,383.0,512,0
90,80,300,317.0,485,0
91,200,300,198.0,763,1
92,160,300,233.0,856,0
93,120,800,265.0,675,1
94,80,400,208.0,622,0
95,80,200,365.0,759,0
96,80,700,130.0,608,0
97,120,1000,387.0,637,0
98,80,200,394.0,548,0
99,120,800,239.0,577,0
100,120,400,206.0,369,0
