Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,80,700,114.0,873,0
2,80,800,183.0,544,0
3,80,100,533.0,670,0
4,200,700,237.0,422,0
5,200,800,238.0,448,0
6,160,300,323.0,440,0
7,200,400,73.0,480,0
8,160,900,332.0,503,0
9,120,200,436.0,440,0
10,120,400,142.0,567,0
11,200,900,353.0,416,0
12,160,200,410.0,400,0
13,120,100,456.0,762,0
14,80,900,312.0,494,0
15,120,1000,440.0,735,0
16,160,100,426.0,439,0
17,160,300,185.0,528,0
18,160,1000,443.0,590,0
19,80,300,331.0,765,1
20,80,700,123.0,634,0
21,80,200,378.0,669,0
22,160,700,193.0,593,0
23,200,1000,471.0,617,0
24,120,200,375.0,418,0
25,80,400,170.0,666,0
26,160,200,290.0,480,0
27,120,900,307.0,806,1
28,200,700,93.0,518,0
29,200,1000,377.0,533,0
30,160,700,135.0,667,0
31,80,800,209.0,702,0
32,120,400,236.0,771,1
33,120,1000,386.0,788,0
34,120,200,361.0,579,0
35,200,1000,435.0,685,0
36,120,900,338.0,944,0
37,80,300,307.0,788,0
38,120,100,445.0,687,0
39,200,400,88.0,540,0
40,160,200,329.0,534,0
41,80,700,111.0,660,0
42,200,400,111.0,366,0
43,160,400,92.0,400,0
44,200,1000,468.0,539,0
45,200,300,299.0,408,0
46,80,100,487.0,884,0
47,160,400,124.0,681,0
48,200,400,95.0,418,0
49,200,900,345.0,508,0
50,200,300,276.0,389,0
51,120,800,230.0,445,0
52,80,700,108.0,664,0
53,80,800,195.0,596,0
54,80,300,317.0,504,0
55,80,100,520.0,724,0
56,80,300,303.0,711,0
57,120,900,334.0,450,0
58,80,200,409.0,613,0
59,200,200,292.0,520,0
60,120,200,427.0,617,0
61,120,1000,449.0,591,0
62,120,300,316.0,525,0
63,80,1000,405.0,675,0
64,200,1000,418.0,589,0
65,80,800,230.0,662,0
66,160,900,313.0,554,0
67,80,400,232.0,776,0
68,200,900,297.0,444,0
69,160,300,252.0,429,0
70,80,700,114.0,416,0
71,80,900,323.0,885,0
72,160,900,317.0,701,0
73,160,900,323.0,646,0
74,120,700,115.0,650,0
75,120,300,243.0,480,0
76,80,800,187.0,600,0
77,160,1000,379.0,705,0
78,160,700,135.0,616,0
79,160,100,446.0,539,0
80,200,400,78.0,503,0
81,80,300,302.0,627,0
82,80,100,485.0,878,0
83,120,1000,410.0,489,0
84,200,200,270.0,439,0
85,120,400,182.0,838,1
86,200,300,213.0,500,0
87,160,800,223.0,512,0
88,120,100,503.0,674,0
89,80,300,289.0,879,0
90,80,100,527.0,694,0
91,160,100,449.0,626,0
92,160,100,444.0,717,0
93,160,800,267.0,655,0
94,120,700,93.0,773,0
95,200,700,126.0,492,0
96,160,800,183.0,637,0
97,200,300,208.0,520,0
98,120,100,460.0,644,0
99,160,800,272.0,506,0
100,160,700,93.0,795,1
101,200,700,119.0,457,0
102,200,700,98.0,666,0
103,80,700,92.0,488,0
104,120,800,175.0,647,0
105,80,200,389.0,579,0
106,200,100,443.0,722,0
107,200,1000,479.0,577,0
108,80,800,208.0,633,0
109,200,400,118.0,344,0
110,200,1000,373.0,644,0
111,80,800,205.0,652,0
112,160,300,270.0,426,0
113,160,800,249.0,432,0
114,80,300,304.0,524,0
115,160,700,171.0,631,0
116,120,400,157.0,399,0
117,120,200,407.0,620,0
118,200,400,103.0,454,0
119,80,800,196.0,522,0
120,200,700,146.0,429,0
121,80,100,462.0,645,0
122,80,200,368.0,926,0
123,120,900,333.0,535,0
124,80,100,477.0,752,0
125,80,100,503.0,885,0
126,120,1000,409.0,627,0
127,120,200,390.0,850,1
128,200,700,189.0,430,0
129,160,300,206.0,670,0
130,200,300,175.0,499,0
131,120,200,415.0,611,0
132,200,400,90.0,458,0
133,200,900,339.0,491,0
134,120,1000,469.0,742,0
135,160,300,242.0,433,0
136,200,200,351.0,609,0
137,120,100,472.0,712,0
138,80,100,508.0,779,0
139,80,200,419.0,705,0
140,160,300,254.0,626,0
141,200,300,191.0,476,0
142,120,300,330.0,527,0
143,160,800,196.0,553,0
144,200,100,398.0,569,0
